content,score
"Sampah, udah ngabisin banyak quota tapi gabisa dibaca bukunya",1
Lama banget sih download nya,1
jelek sangat gak ada bacaanya app palsu,1
Penipu nggk guna,1
"Dear goodreads, bagaimana cara membacanya? Sedangkan gak ada pilihan yang bisa langsung keluar teks bacaan bukunya",1
Why does the book scanner didn't work?,1
Gak sukaaa,1
Gimana cara baca bukunya? Mohon diberi panduan!!,1
Kontol,1
Kontol,1
Passwordnya gak bisa diterima,1
Nyesel download,1
Can't read the book.,1
"Kok kaya ga ada guna nya ya, bikin kesel udh download.",1
Ribet,1
Ribet,1
"gmn si cara bacanya, gajelas.",1
"Gimana nih cara membacanya, kok ribet yaaa.. Huuufffft",1
Sebelllll,1
"Gak ngerti cara memnggunakan nya muater muter cari judul buku nya kebuka hnya rfernsi nya saja,gimana mau baca buku nya?????????????? .",1
Saya tidak mengerti apa gunanya aplikasi ini Saya hanya mau tau cara membaca buku di aplikasi ini tapi hanya muter-muter aja dari tadi di menunya,1
Gabisa baca jir,1
dah susah login malah gak bisa dibaca...kecewa☹️,1
Ada yang bisa kasih tau cara baca buku di aplikasi ini gimana?,1
Cara mbaca pakek aplikasi ini gimana??,1
Cuman buat rekomendasi buku doang????,1
CARA LOGIN NYA GIMANA NIH ANZENG :( WTF,1
"I thought this application to read, but not",1
"Entah Gmna cara bacanya,,Apk membingungkan",1
Gak bisa login.,1
i don't know how to use this apk lol😆😆,1
login error amazon fb gmail errorrrrrrr,1
"Aplikasi g jelas,g bs dibaca bukunya",1
Buruk👎,1
"aplikasi membuang waktu saya, udh dua kli saya dowload tetap gak bisa log in log infb, salah salah mulu, yg katanya pasword sm email nya gk nyambung lah. rugi dowload ini 😡",1
aplikasi juancok,1
gerti ga ada petunjuk pula !!!,1
I hate,1
cara mau bacanya gimana?,1
tolong bantu bagaimana cara baca buku nya?. di YouTube jga gak ada tutorial nya,1
"Selalu berhenti, mohon penjelasan nya",1
jadi biar bisa baca gimana?kita hrs download alplikasi apa lg gitu lho biar bisa baca.pd komen bkn tmpat baca gratis.tp ga blg hrs gimn biar bisa bacanya...,1
aplikasi jelek,1
jelek,1
ini gimana cara baca bukunya ya min???,1
gimana cara untuk membacanya.,1
ini aplikasi kyk mana sih dah didownload gk bisa dibaca dasar GAK JELAS,1
bagaimana cara untuk masuk?? kok selalu email salah,1
kecewa dan tertipu😝,1
Aplikasi kimak gx bisa ngapain² pun😈😈 aplikasi gx ada OTAK!!,1
Aplikasi nya bagus banget kayak taik,1
"apk apaan nih, gk guna bgt tau gk, novelnya gk bisa dibaca, menyesal downlod apk ini😤😡",1
Ga bisa di baca...nyesal uda download..hapus saja...jelek!!!,1
Macam anjing gak bisa apa-apa masuk aja gak bisa,1
Apaan si anjg..apk ga guna,1
free to read book......not se u deleted,1
Cape aing nge log on ga bisa masuk masuk capeeeeee,1
Baik dari web atau aplikasi tidak bisa log in atau sign in.,1
Cara bacanya gimana ya? Ribet,1
APK AKMJ,1
"Bad, cant login",1
aplikasi bangsat gak bisa log in mulu,1
"Saya login pake aku FB tidak bisa-bisa, banyak polah nih Apk, sederhana aja kenapa gk usah bikin repot yang download.",1
"Aplikasi jelek, entah gimna cara bacanya",1
Saya tidak mengerti cara membacanya. Bisa beri tahu saya cara membacanya? agar saya dapat memperbaiki rating nya menjadi bintang 5. Terima kasih.,1
Login ya gak bisa,1
Saya tidak tau cara membacanya,1
I don't know how to used this apk 😭,1
Aplikasi abisin kuota masuk email gua ga bisa bisa nyesel gua download,1
Aplikasi tai ngabisin waktu saja,1
I think this app is read book but this is sell the book,1
Anjirrr,1
Seharusnya bisa digunakan sebagai aplikasi bacaan,1
kenapa harus beli buku di amazon,1
cara bacanya gimana???,1
"Cara bacanya gimana sih? Gk bisa bisa --""",1
Gk bisa baca buku apa pun bohongg 😡😡😡 Senyel aku download,1
Bertele tele,1
Gak Lengkap novelnya,1
Aplikasi sampah..,1
Cara bacanya gimna??? Ada yg bisa jelasin?,1
Ru ja cba download n msuk... Trnyata mbingungkan...dah aktif jdi member msih ja g bsa d baca... Aplikasi yg buang2 kuota ja nich... Capek n ngeseliiiiiiinnnnnnnn.....,1
How to read this book. I wanna read miko but it cant,1
Suka aplikasi ini karna aku penggemar fanfaction and aku prillvers,1
Aplikasi gaje,1
THIS APP IS SO BAD -- WHY I CANT READ ANY BOOK THERE? I HATE THIS APP SO MUCH,1
Susah buat baca bukunya....gak jelassss...,1
Susah buat daftarnya.. Ngga bisa-bisa,1
Ngga ngerti,1
I can scan my book,1
User-usernya selalu menggunakan bahasa kasar. Says jadi gak nyaman.,1
Gk bsa dibuka!!!,1
Gajelas anjng cara bacanya,1
Gmn caranya nyed,1
Masih baru jd sedikt kesulitan,1
kirain bukunya gratis eh ternyata beli..,1
where is information about genre and award?,1
aplikasi ngk jelas...,1
Ini gimna cara pakenya? Bikin bingung,1
Damn,1
"Step step nya terlalu susah, saya sudah muter muter tapi selalu kosong di tengah. Entah saya atau memang aplikasinya yang kurang.",1
Bagaimana cara membaca bukunya gak bisa huuu sebel jelek gak usah download,1
Belum terpasang,1
"Kagak bisa dibuka nih aplikasi, padahal sdah beli paketan..",1
Gabisa di download,1
Ini bukan tempat buat baca novel ya? :(,1
Apaaan nih !!! Gak bisa baca!!,1
Gmn cara bacanyaa?,1
"Gimanaa,nih?kok gk bisa dibaca?",1
Ow,1
"Bagus,  tapi kalau maau buka untuk baca pasti balik lagi ke tampilan awal yg tulisan awal",1
Cak mano nih baca nya,1
gatau cara bacanya.,1
gak jelas... gak bisa baca buku..,1
Ga bgus hrus baca online buat apa bnyk yg grtis & offline bsa di bca,1
If u want to read a book! Don't download this app! This app just like social media. share what book that you have read. No free book!,1
Apaan nih gak bisa dibuka !! :(,1
Gimana sih cara bacanya ? Tolong bntu dong,1
Kek apa cara bacanya sihh,1
Mending google play buku,1
Cuma judul,1
Nggak bisa baca buku! Harus BELI dulu!,1
Diunduh kok susah amat. 5 kali unduhan gagal terus,1
Bisa baca buku gratis.akhirnya,1
Ini cm review doank. Dikirain ebook,1
"Bru d dwnload, d coba dlu",1
"Bingung cara,bacanya.. kecewa download",1
Perjanjian hati,1
i think this app is book reader.. but the actually is only reviewer book -_-,1
Maaf tapi cara bacanya gimana? Yang tau kasih tau ya   :),1
Tidak menarik dan gak ada gunanya,1
"Aku download ini untuk refensi review aku , tentu saja bukan untuk menjiplak. Kadang mau baca buku sesuatu juga aku liat rating/review disini, sungguh membantu.",5
"It's great app, i love it, cuz i can throws my feels after/when i read a book. It's cute too.",5
"Bukan apk untuk membaca. Melainkan apk untuk share rekomendasi buku & komenin buku yg udah di baca. Bisa jg untuk bikin waiting list buku yg akan dibaca/ dibeli. Sangat menarik krn bs challenge diri sendiri untuk membaca, jg bs dpt rekomen buku² menarik lain yg sudah dibaca pengguna lain.",5
Mantap,5
good application to find out what books we have read,5
"Aplikasi ini berguna banget buat aku yang lumayan suka membaca buku. Namun, aplikasi ini bukan buat baca buku ya. Jadi yang berekspektasi bisa baca buku lewat aplikasi ini kalian salah❌ Aplikasi ini buat liat review orang2 terkait suatu buku, liat rekomendasi2 buku, nyatat buku apa aja yg udah kita baca, dsb.",5
Bagus Banget isi Buku-bukunya,5
Bukunya kok gk bisa dibaca kak??,5
Thans for made this app,5
Sangat buruk,5
"Bagus , dapat baca apapun disini",5
Baru mau langganan tp sy liat bagus aplikasinya,5
Like,5
Assalamualaikum wr wb. Mau beli caranya bagai mana. Saya si indonesia,5
"I'm interested in reading here, and it's very interesting, thank you very much",5
"kalau kalian bingung pengen cari buku apa, terus pengen liat review review buku juga, ini aplikasi yang sangat cocok untuk kalian!",5
"Apk ini bagus banget kalau ragu mau beli buku bisa lihat ulasan pembaca disini, terus bisa buat mereview buku jadi inget buku apa yg pernah aku baca dan kesan apa yg didapat dari buku tersebut. Ada reading challenge juga tiap tahun ditahun 2022 aku mau baca 15 buku. Buat yg nanya kok ga bisa baca bukunya krn apk ini buat MEREVIEW BUKU SAJA atau lihat REVIEW ORANG kalau misal ragu mau beli. BUKAN APK BACA BUKU!!",5
AMAZING,5
Ok,5
Ok,5
Ok,5
Good,5
Good,5
Good,5
Good,5
Good,5
Good,5
Good,5
Good,5
Memuaskan,5
Perfect,5
"Bagus banget buat yg cari novel dgn saran atau kritik tentang novelnya, dan mikir"" dulu sebelum di beli🤭👍🏻",5
Thanks you,5
"Sangat bermanfaat, terima kasih telah membuat aplikasi ini🥰",5
Bagus,5
Bagus,5
Wow,5
Oke mantap,5
"Aplikasi ini sangat membantu untuk yang bingung cari buku agar tidak kecewa. Dan review-review buku nya pun sangat membantu kita untuk mempertimbangkan kembali sebelum kita beli buku. Dan menurutku buku yang direview sangat lengkap, jadi bisa dijadikan wishlist selanjutnya.",5
"Aplikasi ini bukan buat baca full isi bukunya, kalau udh tau dan kecewa karena ga bisa baca buku ya jangan seenaknya kasih rating 1. Deskripsi kan udh jelas.",5
"Biasakan baca deskripsi atau bacain ulasan2 orang lain dulu sebelum mendownload, guys. Banyak banget yang complain karena nggak bisa baca. Ini aplikasi buat cari review buku jadi bukan buat baca ya guys. Budayakan literasi ok?",5
"Sangat membantu banget buat milih buku atau hanya sekadar review buku yg udh dibaca 💚 buat yang marah2 krn nggak bisa baca buku di aplikasi ini, lbh baik baca deskripsinya dgn teliti ya",5
"For novel lovers, i recommended you guys download this app because is very membantu kalian agar tau buku yang ingin kalian baca itu menarik/no, yg saya suka de fiturnya itu ada fitur kl ada peringatan komennya itu spoiler, dan tau seberapa banyak typo di bukunya kalau kalian ingin tahu :p",5
Nice,5
Nice,5
Nice,5
"Eh,disini ada komik miiko gak?",5
"Buat yang ngira ini aplikasi buat baca buku . . . Lu nyebut dirimu pembaca? gak mau baca dulu deskripsinya dulu? Harus nya baca dulu lah deskripsi nya baru download, hedeh",5
"Baru aja mau beli buku,dan download app ini.Aku jadi tau review orang-orang dan detail cerita buku yang mau aku beli.Best lah",5
"Great! Aku bisa baca review dulu buat memutuskan mau beli buku apa. Bisa interaksi juga sama author-author kece dan banyak pembaca lainnya. DAN PLIS YA ORANG-ORANG INDONESIA, INI BUKAN APLIKASI BACA BUKU, INI APLIKASI BUAT REVIEW BUKU. KALIAN BISA BACA GAK SIH SEBENERNYA? SEENAKNYA KASIH RATING RENDAH!",5
"Sangat memberi manfaat,sebelum beli buku saya jadi tau apa kekurangan dan kelebihan karya tsb.Trims",5
Bagus alhamdulillah terima kasih,5
"SUKA BANGEET! Bisa buat nambah temen, bisa tau berapa buku yang udah dibaca, nyusun bacaan, baca review orang juga! Jadi tau buku-buku underrated yang sebenarnya uwaw. Buat yang bilang gimana cara baca bukunya, ini aplikasi buat review, bukan baca. Jadi kalau mau bava buku, ya beli bukunya, download ipusnas atau apapun. Soalnya ini app buat review buku tenkyu",5
"Setelah upgrade tidak bisa ""mencari buku"" terus saya instal ulang dan sekarang tidak dapat login lewat Facebook",5
Istri hamil minta dientot,5
Keren! Suka sama fitur read challengenyaaa <3,5
Tolong batuan nya dong say mau baca buku tp tdk tau carnya bagai mana??,5
Yoohooo,5
"Download aplikasi, karena lagi bingung baca buku yang mana, mau liat review orang orang tentang buku-buku yang direkomendasikan.",5
Udah paling bener ini aplikasi,5
"Nice application. Aplikasi yang sangat berguna bagi diriku yang hobi membaca, judul bukunya lumayan lengkap, baru sadar ada reading challengenya juga, jadi tambah semangat baca buku :D",5
Coba dulu dech,5
Oke,5
bacaan banyak di suka,5
Harus dibaca teliti,5
Keren banget,5
"Suka sama aplikasinya. Ini emang bukan aplikasi buat baca buku, tapi nyari buat referensi. Jadi kalo mau beli buku bisa nyari di sini dan bisa liat ratingnya.",5
Suka bnget ada chalengge baca buku jadi merasa tertantang buat baca buku sebanyak banyaknya dan menambah khazanah ilmu dan bahasa,5
"Good app, inget inu buat review buku dsb bukan baca buku yak.",5
Aku kira ebook ternyata ripiu 😁,5
♥️,5
"Ini medsos buat review buku, saling rekomen buku, tandai buku yang sudah dibaca, bukan untuk ""Baca Buku"" dek.",5
"Sepertinya banyak yang salah paham dengan aplikasi ini, padahal aplikasi ini sangat membantu untuk mencari buku yang worth it 🔥",5
"PLIS YA YA ALLAH, INI BUKAN BUAT MBACA, MBOK YA DI BACA DULU PENJELASANNYA, ORANG KOK BEGO HERAN",5
"Kenapa baru inget aplikasi berguna kek gini, sih? Seingetku dulu aku pernah pake aplikasi ini lewat web, kukira emang buat baca buku eh ternyata enggak bisa, akhirnya aku tinggalin aplikasi ini. Nyatanya ini buat review dan bantu banget buat konsumtif buku. Luv luv 😭❤️",5
Recomended banget buat nyarik review buku,5
Lets goooo reads,5
Bagus untuk cari rekomendasi buku,5
"Guys, buat yg ngira ini aplikasi buat baca bukunya, No! you're wrong! App ini tuh buat ngasi review buku/novel, bukan buat baca bukunya. Kl mau baca buku gratis jangan disini.",5
Aplikasi worth it banget. Disini aku bisa lebih banyak belajar kata inggris yg aku blm ngerti. Pokonya bisa buat belajar bahasa inggris deh. ❤,5
"Maaf,Sorry banget.aku gak ngerti bahasa inggris dan binggung pakainya.maaf ke unstal",5
Kebantu banget buat preview dulu sblm beli buku,5
Ini aplikasi bagus banget . Berkah semuanya.,5
Love it,5
Memudahkan kita,5
"Karena app ini aku jadi mengurangi rasa konsumtifku di toko buku. Sebelum membeli buku, aku jadi terbiasa mempertimbangkannya sematang mungkin dengan liat beberapa referensi di GR. Thaks GR",5
Good Review,5
Buat review buku recommended bangett,5
"Bagus, tapi Bagaimana cara Mau buka buku?",5
Sukak,5
"Dengan ada app kayak gini gw jadi tau sebelum beli buku yang gw incer apa emang beneran oke dan recommended. Sekarang kalo ke toko buku tinggal ambil buku terus bayar, lebih efektif dan efisien 👌",5
Good app,5
Good app,5
Mantull lahh gk salahh instal,5
👍👍👍👍,5
Berguna sekali1!1!1!1!!1,5
"Njir ngakak sampe bulan gua, ini tuh aplikasi kurleb kaya imdb kalo yg suka nonton film. Isinya sinopsis/blurb, rate-reviews, rekomendasi, serba serbinya dll. Bukan penyedia film ato kalo kasusnya disini penyedia soft file buku nya awkwkwkwkwk",5
Great,5
Very helpful for me to find information of the books that I curious or want to buy,5
"Suka dengan tantangan membacanya, memudahkan untuk mengetahui penilaian buku sebelum membeli. Makasih goodreads",5
"Ya ampun di sini banyak yg ngegas ya, padahal app ini khusus buat ngasih review/ngeliat review buku alias penilaian mengenai sebuah buku, bkn buat baca isi buku. 😂",5
"Gimana ya ngakak, banyak yg gak tahu kalau ini cuma aplikasi nge Review buku/novel gk kurang dan gak lebih, tapi lihat orang2 ini ingat diriku yang dulu, juga sama. Kalau mau baca buku gratis ke ipusnas saja.",5
bagus sih...ini aplikasi bagus buat reading maraton nih..aku jadi lebih konsisten dalam Baca buku.dan tbr aku jadi lebih dikit....suka deh aplikasi ini..,5
bru mencoba iseng aja kasih bintang 5,5
Rekomended,5
Sangat membantu kita untuk mencari referensi buku yg bagus2.. 💕💕💕,5
bantuan ini bisamembantu aku,5
Aplikasi book review terbaik,5
suka.,5
good,5
good,5
good,5
good,5
good,5
Oke bgt,5
"Berguna bener bisa dipakek nyari buku-buku bagus. Untuk yang gak ngerti, nih aplikasi emang bukan untuk baca gratis tapi lebih ke membantu kita nyari buku sesuai dengan selera kita",5
Semoga berguna untuk memberi tambahan wawsan,5
"Aplikasi ini berguna untuk orang-orang yang emang suka baca buku dan cari rekomendasi buku yan bagus. Dan juga, aplikasi ini sangat membantu saya dengan fitur 'Want to Read' yang membuat saya mudah mengingat buku apa saja yang ingin saya baca kedepannya. Disini juga bisa mencatat progress bacaan kita. Untuk orang yang belum tahu, aplikasi ini hukan untuk baca buku atau download buku secara gratis, tapi aplikasi ini berisi ulasan tentang buku dan juga rekomendasi buku",5
bagus buat cari buku yg best seller dan yg direkomendasikan,5
nice app,5
THE BEST APP EVER. AYO INDONESIA BUDAYAKAN MEMBACA^^ dibantu apps ini biar kalian tau review dari buku yang mau kalian beli^^,5
"Kenapa sih netizen indonesia pada sok tau semua? Bukannya baca deskripsi dulu, udah tau ini aplikasi buat review buku bukan buat baca atau download ebook",5
thank u goodreads!,5
"Bermanfaat sekali, karena bs lihat review dan rekomendasi buku dr temen² yg lain kl misal lg bingung mau beli buku apa ketika di toko buku :) Thank you Godreads ❤️",5
"Sebelum beli buku cari reviewnya di Goodreads dulu, bagus review buku disini.",5
hari gini ga tau goodreads? OMG..,5
guddddddddddd,5
"untuk orang orang yang belum tahu aplikasi ini bukan untuk membac tapi untuk memcari buku,mengetahua apa isi nya,dan komentar orang terhadap buku yang kita cari",5
Very Nice,5
👍👍👍,5
this app very helpfull. thank you,5
Aplikasi bagus. dengan gini bisa tahu gimana novelnya sebelum memutuskan untuk membelinya.,5
"cakep, nih app..",5
"nice app, can you add Indonesian? thanks.",5
Aku suka aplikasi nya tapi aku mau nanya apa ada opsi yang bisa ngubah bahasa? seperti bahasa Inggris ke bahasa Indonesia? kalo ada bisa kasih tau dimana? karena aku memang sedikit ga bisa berbahasa inggris. terima kasih.,5
Great. But please make the UI more great and smooth for better experience,5
"Sebelumnya, saya hanya ingin memberitahu bahwa ini aplikasi untuk review atau mengulas suatu buku. Kalau memang berniat membaca buku secaea gratis lewat aplikasi ini, tidak bisa. Coba saja aplikasi legal dari pemerintah seperti Ijak ataupun Ipusnas. Terima kasih :)",5
"Heran Sekaligus malu sama orang indo, aplikasi keren gini dibilang buruk sama ngeluarin kata kata dari kebun binatang lagi. Padahal di deskripsi udah tertulis jelas ini buat review bukan buat baca gratis. kalau mau baca gratis noh di wattpad sana. Budayakan Membaca ((For Goodreads This Is Good App And Thank You..)) 😊😊",5
"seru nih buat yang nyari referensi buku , cuma orang bego kali ya ngira ini buat baca buku online terus dislike hmmmm",5
good apps,5
hadeeh..kalo mau baca buku gratis ya di perpustakaan sono. heran ini yang ngasih rating jelek alesannya ga bisa dibaca bukunya. emang goodreads bukan tempat buat baca ebook gratis!,5
Arsitekture,5
dear kamu yang sering baca buku,5
Bagus lah jd gak perluck perpus klw ada d srh bikin jurnal buku:v Dngn apk ini jadi gampil gampil gampiiiiiiil,5
keren banget,5
baik,5
"Hai, goodreads! Saya suka tampilan baru aplikasi ini. Sekarang sudah bisa buka seting di app, kalau dulu kan harus buka di web. Pokoknya mantap deh! Cuman kenapa fitur yang secara otomatis/non-otomatis akan share ke akun Facebook apabila kita mulai membaca buku, progres membaca, meberikan rating tidak ada lagi?",5
mantap tapi tampilan nya kurang ..paham.gimana ini apakah berbayar.,5
"Membaca sebagian review disini memberi bukti bahwa orang Indonesia memang kurang literasi. Bahkan aplikasi yang JELAS UNTUK REVIEW malah dikatakan untuk BACA BUKU GRATIS. Halo dear, sebelum pakai aplikasinya, yuk baca dulu😉 Saya suka aplikasi ini terutama fitur reading challenge. Fitur tersebut membuat saya jadi semakin semangat membaca. Selain itu ada juga fitur bookshelf. Kita jadi bisa bikin rak buku pribadi disini. Kerenn!! Kedepannya, perbaiki tampilan di mobile lebih friendly lagi yah.",5
bagus kok buat waktu luang,5
mending liat dlu bagus kok aps nya :p,5
gatau tapi kek nya keren 😘😘😘,5
"keren, jadi tahu mana buku yang bagus dan yang jelek",5
"Dear, sayang-sayangku yang bilang dan kasih rate jelek. tolong baca dulu, ya, ini aplikasi tentang apa. Jangan malas MEMBACA, ya, cinta. dan FYI, goodreads adalah aplikasi/website REVIEW buku/novel yang sudah ada ataupun baru dipublish, dijadikan referensi sebelum membeli dan membaca. BUKAN, aplikasi MEMBACA GRATIS seperti wa/tpad. 😊😊😊",5
terbaik,5
"BUAT KALIAN YG BILANG APLIKASI INI JELEK, HELOW HE TU DE LOW INI BUAT REVIEW BUKU. BUKAN BACA BUKU. CAPSLOCK TIDAK SAMA DENGAN MARAH 😚 MAKASIH",5
Buat yang bilang ini aplikasi jelek. Pahami dulu ini aplikasi apaan sebelum instal. Ini aplikasi untuk memberi dan melihat review. Bukan aplikasi untuk membaca novel gratis,5
"Orang tolol yang ga bisa pake nya, memudahkan gua goodreads good apps",5
"Terlalu banyak orang goblok komen dibawah. Khas konsumen Indonesia. Pinginnya gratisan. Ini tuh aplikasi buat orang yang baca buku di dunia nyata baru ngasih ulasan di aplikasi ini. Hasilnya membantu orang untuk lihat rating dan komentar. Siapa tahu buku yang ratingnya bagus ternyata memang buku bagus. Modar aja sana otak gratisan, nyela, komen pedas, mengkritik, asal mangap, tapi baca penjelasan aplikasi aja ga. Ngapain sekolah? Buat baca bokep? :D Punya internet tuh otak digunain napa tolol.",5
Gimana cara bacanya?,5
"buat yang nyesel download app ini, bilang jelek dll. dear,ini app untuk review buku. membantu kalian kalo mau beli buku or just liat2 buku2 yg baru terbit. bukan baca buku gratis. kalo mau download plis lah dilihat dulu rinciannya jangan asal mencela.",5
Nice app,5
Saya sering susah menggunakanvaplikasi ini,5
Tp g bsa didownload,5
I love it,5
Excelent market as Affiliation with book store and Online shop,5
❤️ it so much!!,5
Bagus Sik,5
Sangat bermanfaat,5
"That's good application, thank u🎈",5
ممتاز,5
Keren,5
ok,5
Aplikasi yang sangat bagus👍,5
Good apk,5
"Suka sekali! Sangat membantu,terutama bagi para pelajar pecinta buku dan 
juga membaca-yang suka dikasih tugas laporan literasi per semester 
se-abreg,kan berasa nemu sumber air ditengah gurun yang tandus. Iya kan?. 
Gausah ribet dan pusing nyari link yg gak php dan download pdf buku atau 
pinjem perpus-apalagi beli. Pokoknya makasih,aku suka kamu! Maksudnya 
aplikasi ini bukan kamu! (Ea baper) //pAANSII? :v",5
Thaks... this help me😍😍😍,5
Goood ***,5
Beramal lewat ilmu,5
Semoga bermanfaat,5
Maybe need more support for Indonesian language books.,5
good good good,5
😊😀😀😀😀😁,5
Good apps 👍,5
Yaa bagus,5
Suka,5
Sangat membantu pecinta buku,5
Alhamdulillah,5
Giod,5
Semoga peminatnya makin banyak ya,5
"Thank you for this app, Semoga lebih cepat update about new books",5
Bagus untuk melihat review,5
Lumayan buat riview,5
👍👍,5
I like it,5
"ini tempat review buku. lihat penilaian orang tentang suatu buku. bukan 
tempat baca buku nya -_-"" bahkan di bio app nya ada tulisan nya kok _-!",5
"Saya rasa bagus sekali jika ada aplikasi seperti ini agar memudahkan kita 
untuk memba novel jadi tidak perlu repot keluar rumah untuk membeli buku 
karna disini terdapat semuanya",5
Siiip,5
